        2.43597          2.309          3.753 (weight == 1)
          3.148          2.971          3.628 (weight == 1)
        3.41429          3.007          2.286 (weight == 1)
          3.582          3.731          3.651 (weight == 1)
        2.46209          2.851          3.728 (weight == 1)
        3.29087          3.668           3.18 (weight == 1)
         3.4161          3.501          2.125 (weight == 1)
          2.122          3.602          3.029 (weight == 1)
        2.44101          2.793          3.378 (weight == 1)
        2.43928          2.193          3.277 (weight == 1)
        3.41614          3.304          2.627 (weight == 1)
          2.996          3.486          2.404 (weight == 1)
        3.39837          2.939           2.34 (weight == 1)
        2.52459          3.553          2.887 (weight == 1)
         3.4161          3.577          2.036 (weight == 1)
          2.278          2.569          2.022 (weight == 1)
        3.39824          3.707          2.804 (weight == 1)
         3.4138          3.117           2.02 (weight == 1)
        3.56161          3.023          3.371 (weight == 1)
          3.756          2.098          2.756 (weight == 1)
        2.56922          2.904          3.126 (weight == 1)
        2.43666          2.711          3.551 (weight == 1)
        2.54948          2.899          3.781 (weight == 1)
          2.459          2.106           2.16 (weight == 1)
        2.47013          3.357          3.052 (weight == 1)
        3.65517          3.248          3.561 (weight == 1)
        3.45855          3.111          2.909 (weight == 1)
          2.306          3.784          3.875 (weight == 1)
        3.66027          3.928          3.349 (weight == 1)
        3.66013          3.563           3.37 (weight == 1)
        3.41615          3.634          2.624 (weight == 1)
           3.59          3.317          3.949 (weight == 1)
          2.352          3.632            3.1 (weight == 1)
        2.79542          2.506          2.743 (weight == 1)
        3.65637          3.099          3.327 (weight == 1)
          3.862          3.896          3.339 (weight == 1)
         3.6595          3.145          3.498 (weight == 1)
        2.32888          2.415          2.122 (weight == 1)
        2.91008          2.763          2.898 (weight == 1)
          2.412          2.636          3.768 (weight == 1)
        3.64371          3.082          3.135 (weight == 1)
        2.43845          2.091            3.4 (weight == 1)
        3.59349          3.397          3.627 (weight == 1)
          3.556          3.358          2.508 (weight == 1)
        2.51147          2.205          2.298 (weight == 1)
        3.65897          3.376          3.281 (weight == 1)
        3.07201          2.021          3.317 (weight == 1)
          2.371          2.722          3.116 (weight == 1)
       0.368955          0.187          0.203 (weight == 1)
       0.369316          0.084          0.116 (weight == 1)
       0.474472          0.754           0.69 (weight == 1)
          0.081          0.327          0.936 (weight == 1)
       0.292337          0.705          0.954 (weight == 1)
       0.217571          0.474          0.976 (weight == 1)
       0.320037          0.187          0.469 (weight == 1)
          0.269          0.497          0.948 (weight == 1)
       0.506592           0.97          0.767 (weight == 1)
       0.272798          0.582          0.654 (weight == 1)
       0.371294          0.437          0.113 (weight == 1)
            0.4          0.962          0.411 (weight == 1)
       0.217036          0.143          0.898 (weight == 1)
       0.442456          0.748          0.588 (weight == 1)
       0.449456          0.725          0.682 (weight == 1)
          0.144          0.197          0.556 (weight == 1)
       0.444534          0.749          0.019 (weight == 1)
       0.219544           0.31          0.774 (weight == 1)
       0.368128          0.159          0.224 (weight == 1)
          0.331          0.484          0.268 (weight == 1)
       0.216519          0.283          0.931 (weight == 1)
       0.473629          0.825          0.283 (weight == 1)
       0.352368          0.171          0.366 (weight == 1)
          0.514          0.352          0.711 (weight == 1)
       0.361195          0.245          0.365 (weight == 1)
       0.362817          0.468          0.425 (weight == 1)
       0.511248          0.969          0.432 (weight == 1)
           0.19          0.829            0.6 (weight == 1)
        0.27516           0.03          0.773 (weight == 1)
       0.511092          0.978          0.986 (weight == 1)
       0.364858          0.313          0.361 (weight == 1)
            0.1          0.579          0.392 (weight == 1)
       0.437547          0.761          0.058 (weight == 1)
       0.241243          0.584          0.934 (weight == 1)
       0.498596          0.863          0.726 (weight == 1)
          0.436          0.628          0.461 (weight == 1)
       0.371982           0.57          0.339 (weight == 1)
       0.232019          0.404          0.697 (weight == 1)
       0.425106          0.745          0.169 (weight == 1)
           0.54          0.306          0.404 (weight == 1)
       0.377702          0.433          0.031 (weight == 1)
       0.431738          0.529          0.032 (weight == 1)
       0.434031          0.729          0.618 (weight == 1)
          0.572          0.966          0.705 (weight == 1)
       0.308904          0.264          0.563 (weight == 1)
       0.308286          0.297          0.574 (weight == 1)
       0.216826          0.426          0.886 (weight == 1)
          0.954          0.885          0.282 (weight == 1)
       0.485598          0.835          0.335 (weight == 1)
       0.492815          0.911          0.242 (weight == 1)
        3.29087          3.668           3.18 (weight == 1)
          2.122          3.602          3.029 (weight == 1)
